Subject,Start Date,All Day Event,Start Time,End Time,Location,Description
Murder on the Orient Express Sequel Revs Up,11/20/2017,FALSE,4:52 PM,,,Hollywood Reporter
"Noah Baumbach Adds Adam Driver, Scarlett Johansson, Laura Dern to Next Film",11/17/2017,FALSE,1:29 PM,,,Variety
Nashville‘s Sixth Season Will Be Its Last,11/17/2017,FALSE,10:04 AM,,,Variety
"Benedict Cumberbatch, Jake Gyllenhaal, and Michelle Williams Are Bound for Rio",11/17/2017,FALSE,2:31 AM,,,Variety
Justice Smith to Lead Detective Pikachu,11/16/2017,FALSE,3:44 PM,,,Variety
Dunkirk Earns Awards Season Theatrical Run,11/16/2017,FALSE,1:01 PM,,,Variety
James Franco Could Be Multiple Man,11/16/2017,FALSE,10:15 AM,,,Hollywood Reporter
Titanic Is Returning to Theaters,11/15/2017,FALSE,12:46 PM,,,Hollywood Reporter
X-Files Sets January Return Date,11/15/2017,FALSE,12:45 PM,,,Variety
Animated Super Mario Bros. Movie in the Works,11/14/2017,FALSE,12:43 PM,,,Hollywood Reporter
Are You Afraid of the Dark? Movie in Development,11/13/2017,FALSE,5:49 PM,,,Hollywood Reporter
Sam Mendes Departs Disney’s Live-Action Pinocchio,11/13/2017,FALSE,4:38 PM,,,Hollywood Reporter
Roseanne Revival Gets an Extra Episode,11/13/2017,FALSE,4:36 PM,,,Variety
Wonder Woman 2 Moves Up to November 2019,11/13/2017,FALSE,1:23 PM,,,Variety
Sony Plots Spider-Man Spinoff for Morbius the Living Vampire,11/13/2017,FALSE,1:22 PM,,,Hollywood Reporter
Rian Johnson Developing New Star Wars Trilogy,11/9/2017,FALSE,2:02 PM,,,Variety
Big Little Lies Season 2 Looks Likely,11/9/2017,FALSE,12:50 PM,,,Variety
Shameless Renewed for Season 9,11/8/2017,FALSE,12:42 PM,,,Variety
The Future of Universal’s ‘Dark Universe’ Appears to Be in Doubt,11/8/2017,FALSE,7:45 AM,,,Hollywood Reporter
Asher Angel to Play Billy Batson in Shazam!,11/6/2017,FALSE,12:51 PM,,,Variety
Russell Crowe to Lead True History of the Kelly Gang,11/6/2017,FALSE,12:50 PM,,,Hollywood Reporter
Amazon Developing Lord of the Rings Series,11/3/2017,FALSE,7:31 PM,,,Variety
Mark Strong in Talks for Shazam!,11/2/2017,FALSE,1:15 PM,,,Hollywood Reporter
The Orville Renewed for Season 2,11/2/2017,FALSE,1:14 PM,,,Variety
Here Is Your Lion King Remake Cast,11/1/2017,FALSE,4:34 PM,,,Hollywood Reporter
Mindy Kaling Developing Four Weddings and a Funeral Series for Hulu,11/1/2017,FALSE,4:34 PM,,,Variety
The Pet Sematary Remake Has Found Its Directors,10/31/2017,FALSE,3:05 AM,,,Variety
Zachary Levi to Star in Shazam!,10/28/2017,FALSE,4:51 AM,,,Variety
Nathan Fillion Is The Rookie,10/26/2017,FALSE,4:59 PM,,,Variety
Mads Mikkelsen Is Going Polar,10/26/2017,FALSE,3:36 PM,,,Variety
Preacher Earns Season 3 Renewal,10/26/2017,FALSE,2:39 PM,,,Variety
Tom Hanks to Star in Sci-Fi Film Bios for Game of Thrones Director,10/26/2017,FALSE,1:39 PM,,,Variety
Taika Watiti Developing What We Do in the Shadows TV Series,10/26/2017,FALSE,1:38 PM,,,Fandango
Scarlett Johansson Drawn Toward Reflective Light,10/26/2017,FALSE,11:26 AM,,,Variety
American Vandal Renewed for Season 2,10/26/2017,FALSE,11:25 AM,,,Variety
Justin Lin and Jordana Brewster Set to Return for Fast and Furious 9,10/26/2017,FALSE,7:42 AM,,,Entertainment Weekly
Robert Guillaume: 1972-2017,10/24/2017,FALSE,4:45 PM,,,New York Times
Ben Mendelsohn Rumored for Captain Marvel,10/24/2017,FALSE,4:43 PM,,,Variety
Big Mouth Renewed for Season 2 at Netflix,10/24/2017,FALSE,9:41 AM,,,Variety
Michael Bay Producing Dora the Explorer Movie,10/23/2017,FALSE,3:19 PM,,,Hollywood Reporter
Drew Goddard Says Nevermoor,10/23/2017,FALSE,3:18 PM,,,Hollywood Reporter
Star Trek: Discovery Earns Season 2 Renewal,10/23/2017,FALSE,1:19 PM,,,Variety
Better Things Renewed for Season 3,10/19/2017,FALSE,10:16 AM,,,Variety
Netflix’s Punisher Sets November Premiere,10/19/2017,FALSE,8:10 AM,,,Variety
Croods 2 Has a Director,10/18/2017,FALSE,3:34 PM,,,Hollywood Reporter
Morgan Freeman to Star in Colin Powell Biopic,10/18/2017,FALSE,3:33 PM,,,Hollywood Reporter
The Han Solo Movie Has an Official Title,10/17/2017,FALSE,10:30 AM,,,Variety
